video_id,comment_count,sentiment_mean,sentiment_median,sentiment_std,positive_ratio,negative_ratio,rating,revenue,success
BeRBEeKiSA8,98,0.06231632653061225,0.0,0.4497373901990666,0.3979591836734694,0.2755102040816326,7.5,234.02,1
C5i2imB72sg,5,-0.18352,0.0,0.3544561989865602,0.2,0.4,7.4,52.42,0
CM79GTEm2ps,67,0.17661194029850746,0.0,0.36734590029198605,0.417910447761194,0.13432835820895522,7.8,760.51,1
CV66H2BY7jI,4,0.034375,0.10115,0.4433013450239014,0.5,0.25,7.3,3.44,0
CZrw7krX50Q,100,0.250316,0.20865,0.47362756235487635,0.55,0.19,6.2,325.02,0
CpBlp2hR-Q0,24,0.0464125,0.0,0.5597714007890224,0.4583333333333333,0.375,6.3,80.02,0
DAIEnDWhzf0,76,0.21714078947368423,0.15905,0.41079782510869634,0.5263157894736842,0.14473684210526316,7.9,5.88,0
DDzVnbjL9SE,15,0.1203,0.0,0.5162169518996557,0.4666666666666667,0.3333333333333333,6.7,330.25,0
E5-TxKahg9I,25,0.12351200000000001,0.0,0.43661776410647024,0.36,0.16,7.4,486.29,0
EkZmXxkU_sE,2,0.08385,0.08385,0.11858180720498401,0.5,0.0,5.8,10.91,0
EmDz6TVIOwA,1,0.0,0.0,,0.0,0.0,6.6,32.36,0
Eqr4xcADGtM,19,0.3434526315789474,0.4215,0.3192808522783334,0.6842105263157895,0.05263157894736842,7.5,10.64,0
FcrHkypR2Io,16,0.13222499999999998,0.1279,0.4454212410741096,0.5625,0.1875,7.3,3.44,0
FiU6LFaeL9c,4,0.13647499999999999,0.0,0.3448321076988046,0.25,0.25,6.2,113.08,0
FobNypUgaOI,43,0.2226,0.0,0.35407950143058736,0.4883720930232558,0.11627906976744186,5.8,10.91,0
FqxH93gyxgM,7,0.17157142857142857,0.0,0.32395272141824294,0.2857142857142857,0.0,6.6,368.31,0
FwQ5NfG2L-M,10,0.11541000000000001,0.1072,0.49632681314275623,0.5,0.2,7.1,43.02,0
G8lIAxnjCT4,8,0.3714375,0.3654,0.3511502728279488,0.75,0.125,5.7,55.29,0
GB8lBMQVwPA,8,0.2549375,0.41000000000000003,0.4934987449325479,0.625,0.25,6.6,56.44,0
GI2oG7hfHek,17,0.09854705882352942,0.0,0.2681980730673858,0.29411764705882354,0.11764705882352941,6.9,72.66,0
HBGlpI3KyPE,17,0.06988235294117645,0.25,0.5270741945344296,0.5882352941176471,0.29411764705882354,4.3,56.11,0
HGdA4A2itgs,5,0.07373999999999999,0.2828,0.5737600177774677,0.6,0.4,5.9,0.02,0
